,delta_active,delta_passive,theta_active,theta_passive,alpha_active,alpha_passive,beta_active,beta_passive,25_active,25_passive,gamma_active,gamma_passive
266,0.9654398170678554,0.9751825814031237,0.9699910751895419,0.9744504864191209,0.9702021258166634,0.972142860100549,0.9671784787337724,0.9684106988241739,0.9477879192505745,0.9485187362508832,0.938063073709944,0.9387378499729385
267,0.9395320718430269,0.9563427616773911,0.947317267297221,0.9548979474319619,0.9472214937908573,0.9503634836185576,0.9412058087292123,0.9430923317412022,0.9045942041796253,0.905576800221575,0.8869712650872305,0.8878473177650759
268,0.9158344019247481,0.9388793423131974,0.9263877784292034,0.9366497990430945,0.9256229507196524,0.9296879813007896,0.9163275680023998,0.9186348635634,0.8625895712873722,0.8636340850820897,0.8378347047306909,0.8387328326487735
269,0.8865304406977443,0.9173369635429949,0.9005646425998581,0.9140524264884766,0.8988613321401403,0.90386753918326,0.8853118092468131,0.8879132673604423,0.811208710598012,0.8121350570008982,0.7788489967496558,0.7796013505386165
270,0.8591291983254031,0.8973677948703334,0.8765894403604861,0.8930684719205809,0.8741071444910549,0.8798274933905552,0.8566705072194014,0.859353646948335,0.7654793366838263,0.7661568066322256,0.7274604535414225,0.7279655033871929
271,0.8396934243612441,0.8833054153953581,0.8596867570376528,0.8782812613405222,0.8567466190683694,0.8628840714611714,0.836657463178036,0.8392961249192421,0.7345551104759166,0.7349967390998533,0.6932642403209663,0.6935512962696015
272,0.8208654522455238,0.8695097942780955,0.8431931784360447,0.863726770070169,0.8396548082879147,0.8460992160869796,0.8168488942318956,0.8193645481431766,0.7044973703139459,0.7046900565326637,0.6604674732398859,0.6605366609781748
273,0.806606782058739,0.8589717876132584,0.8306442074458079,0.852586161650719,0.8265849284387612,0.8332077983550734,0.8016767022517053,0.8040573389069785,0.6819815458317553,0.6819822177185875,0.6362034842308724,0.6361114438668507
274,0.7291870882337844,0.8005822318055859,0.7618236733013489,0.7920914843274761,0.7594381695293875,0.7667600804268326,0.7291357384047339,0.7298134756674203,0.5890438636026913,0.5876642984729311,0.5395715662121212,0.5384919006055258
275,0.4884448809266316,0.5945284107181606,0.5349272770244883,0.5785660846073697,0.5318326419903291,0.5350181292364244,0.48662192405881355,0.4802444713105515,0.33003262080017814,0.3267733351987595,0.2882797700471611,0.2861695180003556
276,0.30310011770930245,0.4037389417091177,0.3452739266003289,0.3840556202994975,0.3386022214534031,0.336203450028596,0.29367313690094243,0.28509467159458773,0.17579185085219287,0.17328068550137207,0.14987686708207046,0.1483596725493393
277,0.19755180300853592,0.27954841432784244,0.23103530637774122,0.2611189051982952,0.22393163766310384,0.21994993740277388,0.18764876334418576,0.18035683681362805,0.10555771645437342,0.1038368024667902,0.08902283371829497,0.08800497635033169
278,0.14471202540532754,0.2119948911522855,0.17183250213417842,0.1958437603608596,0.16542444832183792,0.16146359039466066,0.1361226574206107,0.1301690799912314,0.07431195779374637,0.07302459781219148,0.06232176283873167,0.06156458947144818
279,0.11399157472982561,0.17058024280294917,0.1366176631883037,0.15645502043045775,0.13093807735156518,0.12728851357834225,0.10657132324669187,0.10160486575382362,0.05720413801781628,0.0561805675776257,0.04782445994544357,0.0472242203358959
280,0.178498304846909,0.25469246735353784,0.209370937553833,0.23693064542612294,0.20215364953487028,0.19798966883341482,0.1682149809659339,0.16135088509644238,0.09376415261697657,0.0922205975675784,0.0790315673867781,0.07812633166268035
281,0.11693428922409994,0.17323734480264524,0.13934568115587692,0.15895134461522425,0.1332425876499329,0.1294444383586809,0.10850486603377216,0.10346265548290662,0.05860533391714177,0.057588194443274746,0.049163443629662365,0.04857348660882451
282,0.0865783646495022,0.13095390369864435,0.10409497278685965,0.11925068413011257,0.09904518028545892,0.09582780245598664,0.07979698579825782,0.07587689037015377,0.04247412905141368,0.04172050638145647,0.03555288906509655,0.03511777179313019
283,0.0684084474120952,0.10499978596548876,0.08279348940150044,0.09516234240895168,0.07857538538915339,0.07585189890911423,0.06290858583597687,0.05972746586736349,0.033202292274416824,0.032606510408680005,0.027754746247442504,0.027411542586074228
284,0.056248079273748156,0.08740025970623085,0.06847454678833839,0.07895297578324074,0.06491289668141581,0.06258761367478102,0.05176085493747991,0.04910147157901153,0.02716585957860053,0.026675368700280547,0.02268634909939046,0.022404096653171206
285,0.04748993579076781,0.07464546960680772,0.05814699398659642,0.06726975600163944,0.055116412621735285,0.05311493751187954,0.04382974167059269,0.04155921474708445,0.022909078611790912,0.022493981177359356,0.019115158530198254,0.0188763292092681
286,0.04084374214941877,0.06494961289045477,0.05031381808795157,0.05842474322684449,0.04772457005230216,0.04599168432783988,0.037880423077332824,0.03591203791039579,0.0197344368905493,0.019376064578613905,0.01645231081753786,0.016245976940983675
287,0.3398347218948805,0.4448233661311278,0.3843318651334857,0.42549499788099987,0.37851269690161854,0.3771950015359185,0.3322176494398927,0.3236778838481585,0.20343030180387825,0.20066080547210774,0.1740369612057884,0.1723391637453425
288,0.2562943233954937,0.3509592247186358,0.29560021664685815,0.3314016861648053,0.28872703054205906,0.2854621269653073,0.24676220052172348,0.23850195220484713,0.14337495361026867,0.14116629144590737,0.12149458093765197,0.12016848716544927
289,0.20541603675934283,0.28953856200438716,0.2398694187824223,0.2708657868696195,0.23280545610021125,0.2288449313245395,0.19557334825392989,0.18807551316860108,0.110294985958616,0.10848927466088525,0.09299315022875257,0.09192069937043014
290,0.16297784183986408,0.235632775295281,0.19238583445054025,0.2185238418965866,0.1856070595385093,0.18148567522774817,0.15363888623533947,0.14712854291178148,0.08463478528858158,0.08318722029473444,0.07108640232806576,0.07023352898985127
291,0.12009265883297758,0.17842194293742658,0.143415844297121,0.163856341048048,0.13744635004758327,0.13362360279707186,0.1120529494051227,0.10685354935149381,0.060350479037102785,0.05927731507552997,0.05050832774410168,0.04988056158406969
292,0.5785127208929346,0.6762977178243218,0.6221285432155196,0.6631459133590236,0.6202079100932951,0.6257774848914852,0.5795383418574405,0.5756402944847689,0.41971664486730553,0.41667547560011997,0.3723869008231759,0.3703190585298863
293,0.39978730389037304,0.508245220448459,0.4465110742082761,0.49000131526754637,0.4420378675489055,0.4425640451375369,0.39504045491779693,0.3870067357808744,0.2516591057485536,0.2485657165251148,0.21684390107564835,0.2149057530321849
294,0.2404677930077787,0.3317507210494794,0.2781741836570073,0.3123267721555966,0.27102180049744196,0.26733531683880446,0.23027088941829005,0.22213700384011717,0.13246173216018184,0.13037633000845325,0.11208102964637816,0.11083626577266383
295,0.13873032678670807,0.20260332339653384,0.1643150961170093,0.18680738858864293,0.1576425933159275,0.15347322990336043,0.12925841513778394,0.1234235468222582,0.07034137640840644,0.06911591380311763,0.05901851745134379,0.05830285751509243
296,0.09707441360241972,0.1454809154984599,0.1162213327970548,0.13280088720755887,0.11071028329585984,0.10715291430335436,0.08944138046049108,0.08506123679376425,0.04769219634357115,0.046834306738503556,0.03989844252864424,0.03940105446569333
297,0.07429456063542207,0.11318948366814592,0.08958789476494014,0.10272085503126484,0.08503245230844941,0.08204984152903151,0.06815160638708388,0.06468314754512576,0.03595897238624505,0.03530268383192774,0.030036533097799575,0.02965733118662139
298,0.4082993364053938,0.5166300804740119,0.45501288337524576,0.49855444126119514,0.45059169011506267,0.45133358130592266,0.40359011123476485,0.39565591921699245,0.2586015973880064,0.25548221732975035,0.2231204545127413,0.22116244274144867
299,0.27012815628708275,0.36643334938788225,0.3101880154132628,0.3467362508155955,0.30319675462683116,0.30002078417827555,0.2601402767638788,0.2516869206029483,0.15236409685605562,0.15005956907983872,0.12934178499150506,0.12795809887772533
300,0.20132864638081388,0.28345086337311876,0.23482045273716493,0.2648659531971287,0.22744585451757843,0.22327646648076815,0.19064940509089753,0.18319633670318156,0.1073318105353435,0.10557690392788496,0.09054570562510798,0.08950948080261731
301,0.1547571338780355,0.22385203951947266,0.18255982595431816,0.207156835771142,0.17560406105696375,0.17136913768653786,0.1448378934228734,0.13854392202551108,0.07955607832207494,0.07819826044324624,0.06686678339530336,0.06607264958976043
302,0.10688788898208668,0.15935635639617918,0.1277148483568356,0.14584161889887173,0.12191444344451312,0.11821522070849592,0.09887979069102773,0.09415431674785606,0.05303747812670081,0.052097549705086635,0.044422802618436064,0.043877678277381836
303,0.08128179745221478,0.12342829397664867,0.097900732041089,0.11223338519067715,0.09308281660681553,0.08995325465254882,0.07482233619134872,0.07108359548110797,0.03965088658645364,0.038935960049085255,0.03315069434152832,0.032737643238834414
304,0.0652572609496072,0.10047297890446734,0.07909927635486376,0.09097586030684544,0.07505495408280762,0.07239553792799074,0.06000259878021793,0.05693153469115032,0.031563903104055775,0.030989571340970554,0.026358555282405608,0.02602737542725969
305,0.7781947224595211,0.838203191209068,0.8058456114188216,0.8306715687827402,0.8010606874165404,0.8080111716232242,0.7723814596737828,0.7744543316963173,0.6403551584196229,0.6399758860501841,0.5919941097732293,0.5915906979032851
306,0.7345567182558276,0.8055796531258936,0.7673014722603495,0.7961142654460538,0.7609889927689961,0.7680718577567193,0.7263315145652929,0.7276738853505614,0.5780000734754666,0.5770454701159682,0.5272622692661598,0.5264217234641956
307,0.6948628857476161,0.7749374014987928,0.7316320937040454,0.763512228443752,0.7234177223239829,0.7302282799819243,0.6832003723702877,0.6836595936148238,0.5232192874014464,0.5218055583273984,0.47189674637573126,0.4707390319034315
308,0.6022736220034647,0.7012676097157293,0.646999601118002,0.6869707510168606,0.6398026952762795,0.6465317168841088,0.5944170774526226,0.5926766542697781,0.4271290364577117,0.42456670342781583,0.37806713971509304,0.37617849474986886
309,0.4176781861897383,0.5346594853009263,0.46836379536155676,0.515625601424251,0.4626657483949274,0.46587093085753095,0.41359942755662465,0.40715763013060546,0.2627055084858128,0.25931538954998296,0.22542146549447237,0.2231946416006618
310,0.2740293693911616,0.3811092417270748,0.31866458507780965,0.3605639418511013,0.31259981490142114,0.3116061539405678,0.2685487285994333,0.2606359859347475,0.1554075960815896,0.15269416554839593,0.13086050326364207,0.12917820678000752
311,0.15182638052793618,0.2283413772300834,0.18252722068847443,0.21105877248910382,0.1770318011482637,0.17396721737430645,0.1461558082123826,0.13987788198885032,0.07867922745652366,0.07705563916901895,0.06541993854259341,0.06444865477953413
312,0.10466701402118032,0.16271170904366,0.12759173786375147,0.14872558193279908,0.12304658081943574,0.12009692258229387,0.09993075432304249,0.09510639511392746,0.052436181893233465,0.051299503745722994,0.04341989678903782,0.04274747479167101
313,0.07956902018199108,0.12614866973812786,0.09781860146284135,0.11455969023211714,0.09405548304164366,0.09146287989709276,0.07571701674139336,0.07185491540986869,0.039218140591656125,0.03834852104655853,0.03240761888977776,0.03189591944484361
314,0.06392029570872144,0.10279704426567386,0.07908631833738487,0.09295923028404622,0.07593454278351731,0.07368486307053902,0.06080119614930679,0.057604124685884064,0.0312461493840775,0.030544706546904242,0.025786991097513114,0.025375484805675128
315,0.053181519047113296,0.08655751109505776,0.06617329203290097,0.07804121068874885,0.06350776371012853,0.06155281968806526,0.050671137997119024,0.04795883923407075,0.025902946278075996,0.025317245536849785,0.02135765379753594,0.021014650699027995
316,0.03283777506665901,0.054963007470227004,0.041424630737265315,0.04926135093689081,0.039768868136729744,0.03847589715561083,0.031521344517317126,0.02978379320349848,0.015943856151680473,0.015578171366005825,0.013117201777096651,0.012903450596710714
317,0.022604547471261806,0.038539684312041765,0.028784722143784025,0.034431366807865744,0.027666489112152654,0.026754142682840647,0.02185782120403558,0.020638799248043887,0.010991037307621843,0.010736923505106286,0.009028875054347426,0.008880309190079233
318,0.017074115373981465,0.0295481983907131,0.02191579650052584,0.02635129599772722,0.02110520246565854,0.020416901971880636,0.016649521779592672,0.01571941170146326,0.008343403473707873,0.008149794422230574,0.006846530733900037,0.006733221489963705
319,0.2652151596495471,0.3712017409642001,0.30932078166531496,0.3507201929273247,0.3033732193849453,0.30220908986762546,0.25997450727875043,0.2520880416222196,0.14957181716976026,0.14691238642532523,0.12576937946261202,0.12412235410408867
320,0.14036655684553143,0.21330780563190435,0.16956836491657726,0.19668104617102752,0.16441259826101307,0.16135493769424197,0.13523186346550262,0.12924647671603495,0.0722276558123102,0.0707034878163524,0.059930874920630185,0.05901876062245146
321,0.09505803898261465,0.14932337744930516,0.11645835601707298,0.13617152738865565,0.11231434433967794,0.10949449208494459,0.09091945902283215,0.08642666778236838,0.04737132560419681,0.04632311278390633,0.03914492216560225,0.03852400147014033
322,0.04904277868110584,0.0800748415286297,0.06110102855167023,0.07210376719564647,0.05861247345902225,0.056740832021005994,0.04667205816164366,0.04412967384398445,0.023739199559453573,0.023191785183710054,0.019538468332308708,0.019217095893822148
323,0.028596960076478245,0.04770111676596695,0.03597818010443928,0.042688066422869514,0.03445381561694373,0.03325708566943485,0.02723566506742826,0.025695928231412337,0.013708683866309431,0.013387554970997298,0.011262135980130891,0.011074233185436396
324,0.4410672769831592,0.5576830255350028,0.49192005831674407,0.5391846492573393,0.48631369400540236,0.4902129439231642,0.43727743775207173,0.43134584575594687,0.2821199318617358,0.2787037536917252,0.24289049387226325,0.24061751635246814
325,0.33767145311476027,0.45239324182687873,0.38638724118200085,0.4320758142269351,0.3805947442178073,0.3814209243426792,0.33312846243364497,0.32546342406101225,0.20059630711492235,0.19745814937975528,0.17015028562923565,0.16815591160099144
326,0.2453461308595646,0.3473471801416678,0.28751131920020145,0.3270422178111618,0.2814538773962717,0.2797138752634057,0.23961850197627224,0.2317830825116789,0.13608692989879134,0.1335835766561883,0.11415698705924147,0.11261762997110437
327,0.18782134257988536,0.2758321207938134,0.22355657100205062,0.2569110217208957,0.2176981025382241,0.2149123874626709,0.18190723512300142,0.17480039056373772,0.09984044065757354,0.09785400355374853,0.08325551963267157,0.0820548248658386
328,0.14747173689309742,0.22261552950302935,0.17759627556246216,0.20557244515558515,0.17222445019184168,0.169134462705387,0.14197033072793375,0.13578673590520582,0.0761711817301604,0.07458344783992171,0.06327901167697586,0.06232944695986313
329,0.10386208994464165,0.1619052583267566,0.12681172917234831,0.1479729618553899,0.12238512604317638,0.11945962886282539,0.09938046193330978,0.09457319862187114,0.05208266002198622,0.05094821097349062,0.043103152660584614,0.04243158738478657
330,0.05878724095558278,0.09512952373573576,0.07295493449747949,0.08590326542985266,0.07005313288869609,0.06792473212413652,0.05598718610174584,0.053005589042310515,0.028663683570226008,0.02801393284800501,0.023631994953494,0.023250867748522325
331,0.03430437324801994,0.056846083992462985,0.043028531963901245,0.05096310946238395,0.04121780755739297,0.03982178430721312,0.0326547364836349,0.030832759863302025,0.01651130154565733,0.016129677972132276,0.013584332786009937,0.013361427932411405
332,0.024042049456505753,0.04039670935463378,0.030359876854761356,0.03610142232046789,0.029080644558386527,0.028066202715556213,0.022959891697370387,0.021659500027165518,0.011550052262462343,0.011281435763164625,0.009493560651222888,0.009336873433096955
333,0.6626840860924643,0.7497559167093897,0.7025453559836872,0.736721268845319,0.6928365034348352,0.699304512883294,0.648522413060334,0.6482423583291252,0.48207488988369934,0.48036463009341324,0.43121251280787265,0.42986351515722754
334,0.6355564019368906,0.7283513704267316,0.6779580467079411,0.713982773544957,0.6671365025141117,0.6732669226922026,0.619770180894986,0.6188767494329558,0.44979951158734,0.4478837128374148,0.3997862126889185,0.3983103357941489
335,0.6073631799373382,0.7055756258543874,0.6520992036651615,0.6897665762995937,0.6399877396079283,0.6456234534158896,0.5896089457241145,0.588039865906428,0.417428342628457,0.41533669977768817,0.36869333258575565,0.36711751590939334
336,0.3776465527282942,0.49995808245809387,0.430346255587791,0.4792289243202574,0.42351505835234254,0.4266084638849015,0.3733815197095958,0.36702547921144424,0.22921948237750633,0.22585914044087152,0.19498626526800142,0.1927597250519046
337,0.20444435767688182,0.30325976317275927,0.2447221832798522,0.2831954281938517,0.2394774084284121,0.23802743420340414,0.20132614632971688,0.1941591516095561,0.11080275386019975,0.10844252537931912,0.09212903945861704,0.090669881775719
338,0.139842093516027,0.218086222698537,0.17106228383627298,0.20097255375352024,0.1668430294342059,0.1645977443039704,0.1374590183879245,0.13151227768458448,0.07284617210557895,0.07114648513203943,0.06014765052319508,0.05911744921533684
339,0.139739694647102,0.2179436177401439,0.1709426544704617,0.20083643500258774,0.16672505815208014,0.16447902177965623,0.13735712372397932,0.1314130001292376,0.07278780409780032,0.07108924630065765,0.060098812209545334,0.059069326561759776
340,0.19698529833890868,0.2943401410591029,0.23663108280355735,0.2745236272762886,0.2316472164267785,0.2301540196374044,0.19438161628192197,0.18733382072874538,0.10653012199507357,0.1042366422779835,0.08849023822359824,0.08707448916636652
341,0.5890578518119518,0.6906274695606003,0.6352345430881171,0.6738952149658262,0.6223426300098033,0.6276365232248657,0.5702239464464688,0.5682358127086169,0.3974870744639741,0.39530686875614873,0.3497508155738455,0.34812870489177294
342,0.5275197215326137,0.6399250893605491,0.5779880060256364,0.6216867757470954,0.5669439234251867,0.5723382155207289,0.5141478191307144,0.5110443224503756,0.34571734529521403,0.34298860415191934,0.30116712036955057,0.29920745483365063
343,0.2720129033988386,0.3866484065924283,0.3198432497704507,0.3652413855965058,0.3140077233417513,0.3144875004603012,0.2692758584564713,0.2619731837845927,0.1544744507825762,0.15153918475795847,0.129453891749022,0.12758550676650596
344,0.13132476323759748,0.2072930694301642,0.16150248755657348,0.19062167955771672,0.15759787204237924,0.1554833377793755,0.12951930122531535,0.12381291234258038,0.06817833744760282,0.06653143133449882,0.05617087700831095,0.055170504361128254
345,0.08110955620269236,0.1339202564445496,0.10171340308805697,0.1216227312607574,0.09900534282889399,0.09699777133538895,0.08001392001058329,0.07597600222757446,0.04089463779505772,0.03984037268824015,0.03350238166791717,0.03287026848169247
346,0.058269398017304304,0.09857633141722524,0.07387484261754516,0.08896192180026519,0.07186606901528704,0.07018709516847729,0.057633183740243454,0.05456253054838946,0.029070120822768435,0.028301038128834857,0.023754250566992336,0.02329554955104085
347,0.13356204912610367,0.21028640226230938,0.1640529807339448,0.19346573804282424,0.16006540873008393,0.15794464714155554,0.13163084088789914,0.12586253667719569,0.06939194720547759,0.06772232202588219,0.0571939832215451,0.056179713332388005
348,0.08376200938174565,0.13776482764887998,0.10483912115281661,0.12519654852564877,0.10201469017550469,0.09996583639660742,0.082511615550206,0.07837160015584066,0.04225471234939767,0.04117101099959705,0.034638160194303796,0.033988541972642804
349,0.0606311000931569,0.10212281928341052,0.07669758911492146,0.09222050829473334,0.07457287227762638,0.07283848444131188,0.059845740651597444,0.056671733167785704,0.030245774916943816,0.02944969741122138,0.024731999509230298,0.024257432953414107
350,0.050166066999724084,0.08568755004643912,0.06388452411211527,0.07714997115964636,0.062143754147046926,0.060632730134862534,0.04970529096029865,0.04701450564252367,0.02497530377464904,0.024311469222678492,0.020398538158075245,0.02000365500953014
351,0.05122374553493585,0.08737296995170936,0.06518877466154017,0.07869167780424206,0.06341043913985793,0.06187617040357717,0.050736119914110145,0.047995494800598046,0.02550870646299228,0.024831416600850365,0.020836782701422647,0.02043381073222154
352,0.2773742696730793,0.3932777517292314,0.3258860206868293,0.37185941845623033,0.3201562474024653,0.32084669213961153,0.2750264119933677,0.2677577606832622,0.15828093039618027,0.1553034930815717,0.1326969839522201,0.13079567994264937
353,0.14942396386657356,0.23204748387193003,0.1824364696757223,0.2142285677879049,0.17810872955603535,0.17603604255829214,0.14716773008158,0.14096956927038248,0.07821930688859251,0.0763700298074083,0.06455396375288294,0.06342552998707775
354,0.10196100885425839,0.16431711663928766,0.12641646044180052,0.14999662191196123,0.12298246936454932,0.12071769975140018,0.10001211042924228,0.09517595042385049,0.05170277845637392,0.05040032804612179,0.042458423711224026,0.041674800955040656
355,0.07712630682033701,0.12698244727291563,0.0964939734931002,0.11516520003356841,0.09370714040657904,0.09163451355891118,0.07556054228838495,0.07166340368651967,0.0385205247067804,0.03752168431628355,0.031556000623492696,0.030959088677675994
356,0.06179435540526591,0.10329114900563421,0.07782842805392524,0.09328501160928532,0.07552689586068129,0.07369346873996348,0.06058630505984075,0.05734726297407786,0.03062856573299166,0.02982160780429848,0.02505387520592836,0.024573496057680163
357,0.05134444188905645,0.0868893403213733,0.06503706052366116,0.07824093338910416,0.06311471200504044,0.061504010647933025,0.05045729532743983,0.04770104705001542,0.02536532785578459,0.024690587255800894,0.02072734307109487,0.020326636680936074
358,0.04373283325992729,0.07483770183948794,0.055696261367970866,0.06724188876347877,0.0540814388756081,0.052666941849212306,0.04313488861994196,0.040747689361951105,0.021596911157145085,0.021018928657940094,0.017633939044668746,0.017291208869363313
359,0.5678711451341317,0.6734415760479894,0.6158235122445362,0.6557272737638815,0.6023236144715599,0.6072987861681071,0.5485884666462786,0.5461860911791842,0.3760741268715667,0.37381321938437034,0.3295618407875074,0.32789790849057315
360,0.5358146537322738,0.6470622083875339,0.5862733140588293,0.6279061901033018,0.5719977555193877,0.576448990984762,0.5162317802849207,0.5132289520325274,0.3453192236503199,0.3429628702694881,0.3008278287546272,0.29911799352210056
